attempt_index,attempt_id,circuit,source_qasm_sha256,family,qmax,num_qubits,depth,gate_count,acted_point_count,gate_node_denominator,gate_qubit_event_denominator,qubit_denominator,normalized_depth_denominator,two_qubit_density,E_mean,E_peak,certificate_selected_point_count,certificate_selected_gate_count,certificate_selected_qubit_count,certificate_acted_point_coverage,certificate_gate_coverage,certificate_qubit_coverage,certificate_depth_reach,emitted_mid_point_count,emitted_mid_gate_count,emitted_mid_qubit_count,emitted_mid_acted_point_coverage,emitted_mid_gate_coverage,emitted_mid_qubit_coverage,emitted_mid_depth_reach,final_read_point_count,deployed_observable_point_count,deployed_observable_gate_count,deployed_observable_qubit_count,deployed_observable_acted_point_coverage,deployed_observable_gate_coverage,deployed_observable_qubit_coverage,deployed_observable_depth_reach,infeasible_mid_point_count,infeasible_gate_group_count,batch_count,selector_max_a2,selector_max_independent_svd_a2,mean_ent,peak_ent,node_cov,emitted_node_cov,certificate_node_cov,deployed_node_cov
284,canonical:284:vqe_indep_qiskit_8.qasm,vqe_indep_qiskit_8.qasm,4f2aeb5a000d39a2ee8edb1519edff08810a6bfd83d720ce229ad7329cf28f21,vqe,24,8,12,38,52,38,52,8,12,0.3684210526315789,0.06209823575541744,0.24999999548903706,9,9,8,0.17307692307692307,0.23684210526315788,1.0,0.5833333333333334,9,9,8,0.17307692307692307,0.23684210526315788,1.0,0.5833333333333334,0,9,9,8,0.17307692307692307,0.23684210526315788,1.0,0.5833333333333334,0,0,1,1.5972329265695882e-16,1.5972329265695882e-16,0.06209823575541744,0.24999999548903706,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788
285,canonical:285:vqe_indep_qiskit_9.qasm,vqe_indep_qiskit_9.qasm,01d7b256289ed095b790453ae61e7e0e863cf6e031c9e1c9bd4545f5ce3cd86e,vqe,24,9,13,43,59,43,59,9,13,0.37209302325581395,0.10759901914489876,0.24999997838028581,10,10,9,0.1694915254237288,0.23255813953488372,1.0,0.38461538461538464,10,10,9,0.1694915254237288,0.23255813953488372,1.0,0.38461538461538464,0,10,10,9,0.1694915254237288,0.23255813953488372,1.0,0.38461538461538464,0,0,1,1.2101468781864194e-16,1.2101468781864194e-16,0.10759901914489876,0.24999997838028581,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.23255813953488372
286,canonical:286:vqe_real_amp_indep_qiskit_11.qasm,vqe_real_amp_indep_qiskit_11.qasm,f3d53c9ee26041f09f7d3128470ea4da19568edeb6be5ad683461c5506bf403c,vqe_real_amp,24,11,18,74,104,74,104,11,18,0.40540540540540543,0.15584872762097124,0.24988702103188826,11,11,11,0.10576923076923077,0.14864864864864866,1.0,0.05555555555555555,11,11,11,0.10576923076923077,0.14864864864864866,1.0,0.05555555555555555,0,11,11,11,0.10576923076923077,0.14864864864864866,1.0,0.05555555555555555,0,0,1,5.828804869448698e-16,5.828804869448698e-16,0.15584872762097124,0.24988702103188826,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.14864864864864866
287,canonical:287:vqe_real_amp_indep_qiskit_12.qasm,vqe_real_amp_indep_qiskit_12.qasm,23d8cb5d450cff182470c039aaa233d0ce25fdcc453f3ce29e766e90a146c30c,vqe_real_amp,24,12,19,81,114,81,114,12,19,0.4074074074074074,0.14986646101925727,0.24942981799547553,12,12,12,0.10526315789473684,0.14814814814814814,1.0,0.05263157894736842,12,12,12,0.10526315789473684,0.14814814814814814,1.0,0.05263157894736842,0,12,12,12,0.10526315789473684,0.14814814814814814,1.0,0.05263157894736842,0,0,1,1.4830421500974395e-15,1.4830421500974395e-15,0.14986646101925727,0.24942981799547553,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814
288,canonical:288:vqe_real_amp_indep_qiskit_13.qasm,vqe_real_amp_indep_qiskit_13.qasm,e03c8aa8875077334aaa390cdabdd66a1b97924d15f0ff8e8424991e0762970f,vqe_real_amp,24,13,20,88,124,88,124,13,20,0.4090909090909091,0.1731380654628132,0.2492769693284575,13,13,13,0.10483870967741936,0.14772727272727273,1.0,0.05,13,13,13,0.10483870967741936,0.14772727272727273,1.0,0.05,0,13,13,13,0.10483870967741936,0.14772727272727273,1.0,0.05,0,0,1,1.4830421500974395e-15,1.4830421500974395e-15,0.1731380654628132,0.2492769693284575,0.14772727272727273,0.14772727272727273,0.14772727272727273,0.14772727272727273
289,canonical:289:vqe_real_amp_indep_qiskit_14.qasm,vqe_real_amp_indep_qiskit_14.qasm,6fff0599a35f23e79165203962486daf07739a4a8c59eba089cd67eb3685fcfd,vqe_real_amp,24,14,21,95,134,95,134,14,21,0.4105263157894737,0.16817000580291624,0.24995921326789194,14,14,14,0.1044776119402985,0.14736842105263157,1.0,0.047619047619047616,14,14,14,0.1044776119402985,0.14736842105263157,1.0,0.047619047619047616,0,14,14,14,0.1044776119402985,0.14736842105263157,1.0,0.047619047619047616,0,0,1,1.4830421500974395e-15,1.4830421500974395e-15,0.16817000580291624,0.24995921326789194,0.14736842105263157,0.14736842105263157,0.14736842105263157,0.14736842105263157
290,canonical:290:vqe_su2_indep_qiskit_11.qasm,vqe_su2_indep_qiskit_11.qasm,bcd621d9ae612e4f21c230a8af6a8913863ee1f45c7c079e1633b33cc4a0fe6b,vqe_su2,24,11,18,74,104,74,104,11,18,0.40540540540540543,0.17677790080010725,0.24969541063304945,11,11,11,0.10576923076923077,0.14864864864864866,1.0,0.05555555555555555,11,11,11,0.10576923076923077,0.14864864864864866,1.0,0.05555555555555555,0,11,11,11,0.10576923076923077,0.14864864864864866,1.0,0.05555555555555555,0,0,1,1.0100691940327045e-15,1.0100691940327045e-15,0.17677790080010725,0.24969541063304945,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.14864864864864866
291,canonical:291:vqe_su2_indep_qiskit_12.qasm,vqe_su2_indep_qiskit_12.qasm,e8c257647b08c1014ce664250331124b1dd4b848db521d5a206126616f9f3d9b,vqe_su2,24,12,19,81,114,81,114,12,19,0.4074074074074074,0.17092943239442807,0.24994938229268338,12,12,12,0.10526315789473684,0.14814814814814814,1.0,0.05263157894736842,12,12,12,0.10526315789473684,0.14814814814814814,1.0,0.05263157894736842,0,12,12,12,0.10526315789473684,0.14814814814814814,1.0,0.05263157894736842,0,0,1,2.7853763735724277e-16,2.7853763735724277e-16,0.17092943239442807,0.24994938229268338,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814
292,canonical:292:vqe_su2_indep_qiskit_13.qasm,vqe_su2_indep_qiskit_13.qasm,eae081950d6c994c1d12a37a3a787f2aa457f304bd4b17d239f509fea429211f,vqe_su2,24,13,20,88,124,88,124,13,20,0.4090909090909091,0.17853523595476123,0.2499662096414422,13,13,13,0.10483870967741936,0.14772727272727273,1.0,0.05,13,13,13,0.10483870967741936,0.14772727272727273,1.0,0.05,0,13,13,13,0.10483870967741936,0.14772727272727273,1.0,0.05,0,0,1,6.735096684051315e-16,6.735096684051315e-16,0.17853523595476123,0.2499662096414422,0.14772727272727273,0.14772727272727273,0.14772727272727273,0.14772727272727273
293,canonical:293:vqe_su2_indep_qiskit_14.qasm,vqe_su2_indep_qiskit_14.qasm,a9840a42dda8e1d5c1e4c0cdec2fcea32e921969875f54db8ee46aa07dbfa44e,vqe_su2,24,14,21,95,134,95,134,14,21,0.4105263157894737,0.18100466758746708,0.2499996711257349,14,14,14,0.1044776119402985,0.14736842105263157,1.0,0.047619047619047616,14,14,14,0.1044776119402985,0.14736842105263157,1.0,0.047619047619047616,0,14,14,14,0.1044776119402985,0.14736842105263157,1.0,0.047619047619047616,0,0,1,1.0101739123554299e-15,1.0101739123554299e-15,0.18100466758746708,0.2499996711257349,0.14736842105263157,0.14736842105263157,0.14736842105263157,0.14736842105263157
